41 0.0291562
0.517009 0.529609 0.34933
0.558079 0.520749 0.346178
0.567885 0.528854 0.348897
0.514003 0.551763 0.365935
0.550477 0.565891 0.364582
0.508411 0.576284 0.352738
0.535359 0.595755 0.365269
0.580357 0.580468 0.356455
0.541656 0.489903 0.366709
0.509019 0.519271 0.370955
0.56243 0.529298 0.392788
0.596844 0.517337 0.376555
0.511209 0.543139 0.38334
0.558908 0.554111 0.377668
0.574614 0.551926 0.38355
0.524212 0.597425 0.395148
0.557364 0.588408 0.389653
0.574916 0.57671 0.37192
0.558524 0.614649 0.377949
0.582254 0.60484 0.377953
0.513624 0.492175 0.41116
0.54838 0.485177 0.400861
0.488873 0.533275 0.422906
0.523403 0.52243 0.415298
0.534332 0.521951 0.412548
0.499658 0.562261 0.431868
0.51493 0.549928 0.422165
0.534994 0.533952 0.415538
0.591159 0.557626 0.426827
0.609973 0.557045 0.422589
0.510878 0.573818 0.413467
0.537649 0.588402 0.408186
0.590118 0.585444 0.415425
0.587663 0.601822 0.427366
0.496887 0.526224 0.435956
0.514653 0.522697 0.435061
0.536231 0.527808 0.434392
0.558078 0.555093 0.453707
0.523315 0.588291 0.435253
0.552821 0.567063 0.445348
0.593788 0.582386 0.438876
