41 0.0291562
0.517009 0.528628 0.34933
0.558079 0.519768 0.346178
0.567885 0.527873 0.348897
0.514003 0.550782 0.365935
0.550477 0.56491 0.364582
0.508411 0.575303 0.352738
0.535359 0.594774 0.365269
0.580357 0.579487 0.356455
0.541656 0.488922 0.366709
0.509019 0.51829 0.370955
0.56243 0.528317 0.392788
0.596844 0.516356 0.376555
0.511209 0.542158 0.38334
0.558908 0.55313 0.377668
0.574614 0.550945 0.38355
0.524212 0.596444 0.395148
0.557364 0.587427 0.389653
0.574916 0.575729 0.37192
0.558524 0.613668 0.377949
0.582254 0.603859 0.377953
0.513624 0.491194 0.41116
0.54838 0.484196 0.400861
0.488873 0.532294 0.422906
0.523403 0.521449 0.415298
0.534332 0.52097 0.412548
0.499658 0.56128 0.431868
0.51493 0.548947 0.422165
0.534994 0.532971 0.415538
0.591159 0.556645 0.426827
0.609973 0.556064 0.422589
0.510878 0.572837 0.413467
0.537649 0.587421 0.408186
0.590118 0.584463 0.415425
0.587663 0.600841 0.427366
0.496887 0.525243 0.435956
0.514653 0.521716 0.435061
0.536231 0.526827 0.434392
0.558078 0.554112 0.453707
0.523315 0.58731 0.435253
0.552821 0.566082 0.445348
0.593788 0.581405 0.438876
