41 0.0291562
0.517009 0.494293 0.34933
0.558079 0.485433 0.346178
0.567885 0.493538 0.348897
0.514003 0.516447 0.365935
0.550477 0.530575 0.364582
0.508411 0.540968 0.352738
0.535359 0.560439 0.365269
0.580357 0.545152 0.356455
0.541656 0.454587 0.366709
0.509019 0.483955 0.370955
0.56243 0.493982 0.392788
0.596844 0.482021 0.376555
0.511209 0.507823 0.38334
0.558908 0.518795 0.377668
0.574614 0.51661 0.38355
0.524212 0.562109 0.395148
0.557364 0.553092 0.389653
0.574916 0.541394 0.37192
0.558524 0.579333 0.377949
0.582254 0.569524 0.377953
0.513624 0.456859 0.41116
0.54838 0.449861 0.400861
0.488873 0.497959 0.422906
0.523403 0.487114 0.415298
0.534332 0.486635 0.412548
0.499658 0.526945 0.431868
0.51493 0.514612 0.422165
0.534994 0.498636 0.415538
0.591159 0.52231 0.426827
0.609973 0.521729 0.422589
0.510878 0.538502 0.413467
0.537649 0.553086 0.408186
0.590118 0.550128 0.415425
0.587663 0.566506 0.427366
0.496887 0.490908 0.435956
0.514653 0.487381 0.435061
0.536231 0.492492 0.434392
0.558078 0.519777 0.453707
0.523315 0.552975 0.435253
0.552821 0.531747 0.445348
0.593788 0.54707 0.438876
