41 0.0291562
0.514049 0.361912 0.346429
0.560377 0.35567 0.342155
0.570232 0.361942 0.346429
0.513253 0.384436 0.365251
0.55058 0.39866 0.363998
0.508164 0.408326 0.352488
0.535284 0.42782 0.365095
0.580575 0.412451 0.356253
0.540327 0.337585 0.359861
0.500597 0.354356 0.367951
0.564959 0.364045 0.393799
0.600309 0.35089 0.37583
0.509722 0.376586 0.382783
0.559465 0.387461 0.37734
0.575582 0.384918 0.383519
0.524035 0.42954 0.395141
0.55749 0.4207 0.389648
0.57526 0.408927 0.371739
0.558556 0.446626 0.377906
0.582386 0.436764 0.37791
0.505442 0.337982 0.413355
0.554154 0.335585 0.405095
0.486804 0.365596 0.423694
0.522397 0.358805 0.417003
0.534441 0.358365 0.414557
0.49921 0.394462 0.432287
0.514415 0.383166 0.422839
0.535179 0.368674 0.41688
0.591581 0.389382 0.427218
0.610268 0.388802 0.422717
0.510512 0.406293 0.413591
0.537607 0.420686 0.408297
0.590293 0.417335 0.415499
0.587734 0.433678 0.42743
0.494928 0.35893 0.438767
0.51358 0.356547 0.438686
0.536747 0.361159 0.437751
0.558291 0.386907 0.454267
0.523236 0.420336 0.435513
0.552935 0.399066 0.445804
0.593876 0.414192 0.438977
