41 0.0291562
0.475231 0.333557 0.282619
0.574134 0.334123 0.268342
0.600389 0.334572 0.28927
0.48377 0.33835 0.344276
0.553125 0.344645 0.341037
0.488329 0.344709 0.330392
0.530853 0.35532 0.352711
0.601372 0.347921 0.335574
0.534079 0.346443 0.304805
0.41928 0.331714 0.337146
0.589462 0.334901 0.399926
0.677432 0.332041 0.357329
0.464068 0.338261 0.372705
0.569003 0.341369 0.365891
0.602488 0.340686 0.377239
0.51266 0.358114 0.39492
0.561476 0.354285 0.387693
0.594004 0.346886 0.359563
0.560982 0.366091 0.373037
0.596601 0.359677 0.371571
0.448796 0.334122 0.422209
0.573266 0.342939 0.42918
0.423645 0.33125 0.438372
0.505722 0.332751 0.435793
0.530435 0.333079 0.434162
0.47496 0.339235 0.452494
0.496071 0.338006 0.440482
0.532121 0.335421 0.436925
0.627896 0.334042 0.466296
0.662841 0.333744 0.447655
0.491685 0.34738 0.41917
0.533502 0.355689 0.414071
0.608906 0.348205 0.421725
0.598275 0.355516 0.436511
0.446817 0.341707 0.489191
0.494538 0.328606 0.502859
0.539391 0.329237 0.49923
0.575722 0.333889 0.514133
0.516328 0.350161 0.453981
0.557867 0.341003 0.481045
0.613012 0.343341 0.462589
