41 0.0291562
0.517009 0.509008 0.34933
0.558079 0.500148 0.346178
0.567885 0.508253 0.348897
0.514003 0.531162 0.365935
0.550477 0.54529 0.364582
0.508411 0.555683 0.352738
0.535359 0.575154 0.365269
0.580357 0.559867 0.356455
0.541656 0.469302 0.366709
0.509019 0.49867 0.370955
0.56243 0.508697 0.392788
0.596844 0.496736 0.376555
0.511209 0.522538 0.38334
0.558908 0.53351 0.377668
0.574614 0.531325 0.38355
0.524212 0.576824 0.395148
0.557364 0.567807 0.389653
0.574916 0.556109 0.37192
0.558524 0.594048 0.377949
0.582254 0.584239 0.377953
0.513624 0.471574 0.41116
0.54838 0.464576 0.400861
0.488873 0.512674 0.422906
0.523403 0.501829 0.415298
0.534332 0.50135 0.412548
0.499658 0.54166 0.431868
0.51493 0.529327 0.422165
0.534994 0.513351 0.415538
0.591159 0.537025 0.426827
0.609973 0.536444 0.422589
0.510878 0.553217 0.413467
0.537649 0.567801 0.408186
0.590118 0.564843 0.415425
0.587663 0.581221 0.427366
0.496887 0.505623 0.435956
0.514653 0.502096 0.435061
0.536231 0.507207 0.434392
0.558078 0.534492 0.453707
0.523315 0.56769 0.435253
0.552821 0.546462 0.445348
0.593788 0.561785 0.438876
