41 0.0291562
0.517009 0.514894 0.34933
0.558079 0.506034 0.346178
0.567885 0.514139 0.348897
0.514003 0.537048 0.365935
0.550477 0.551176 0.364582
0.508411 0.561569 0.352738
0.535359 0.58104 0.365269
0.580357 0.565753 0.356455
0.541656 0.475188 0.366709
0.509019 0.504556 0.370955
0.56243 0.514583 0.392788
0.596844 0.502622 0.376555
0.511209 0.528424 0.38334
0.558908 0.539396 0.377668
0.574614 0.537211 0.38355
0.524212 0.58271 0.395148
0.557364 0.573693 0.389653
0.574916 0.561995 0.37192
0.558524 0.599934 0.377949
0.582254 0.590125 0.377953
0.513624 0.47746 0.41116
0.54838 0.470462 0.400861
0.488873 0.51856 0.422906
0.523403 0.507715 0.415298
0.534332 0.507236 0.412548
0.499658 0.547546 0.431868
0.51493 0.535213 0.422165
0.534994 0.519237 0.415538
0.591159 0.542911 0.426827
0.609973 0.54233 0.422589
0.510878 0.559103 0.413467
0.537649 0.573687 0.408186
0.590118 0.570729 0.415425
0.587663 0.587107 0.427366
0.496887 0.511509 0.435956
0.514653 0.507982 0.435061
0.536231 0.513093 0.434392
0.558078 0.540378 0.453707
0.523315 0.573576 0.435253
0.552821 0.552348 0.445348
0.593788 0.567671 0.438876
