41 0.0291562
0.48528 0.335247 0.300262
0.571146 0.335099 0.287817
0.592152 0.335946 0.304763
0.492194 0.342422 0.35028
0.552503 0.350386 0.348426
0.495239 0.351135 0.338159
0.53262 0.365419 0.357222
0.593548 0.354235 0.343364
0.535447 0.351939 0.317672
0.439474 0.333351 0.344826
0.584035 0.337354 0.400014
0.65784 0.332913 0.363022
0.476771 0.341565 0.375022
0.566651 0.346159 0.369465
0.594619 0.344753 0.380201
0.516727 0.368454 0.395068
0.560413 0.363041 0.38835
0.587573 0.353593 0.364125
0.560058 0.378751 0.374995
0.591135 0.370599 0.37435
0.462236 0.337063 0.421002
0.571025 0.348067 0.425157
0.441617 0.33389 0.434493
0.510603 0.335252 0.431649
0.532347 0.335374 0.42982
0.48302 0.344466 0.446058
0.501707 0.342398 0.435746
0.533711 0.338389 0.432144
0.616441 0.337838 0.454567
0.645195 0.337342 0.440074
0.497832 0.354042 0.417529
0.535072 0.36402 0.412077
0.602225 0.356116 0.419507
0.593917 0.366358 0.432524
0.46019 0.330033 0.475337
0.5002 0.331061 0.484988
0.540187 0.331712 0.482213
0.571187 0.337934 0.495062
0.518754 0.359129 0.447299
0.556922 0.346211 0.469358
0.605679 0.350487 0.453316
