41 0.0291562
0.517009 0.485464 0.34933
0.558079 0.476604 0.346178
0.567885 0.484709 0.348897
0.514003 0.507618 0.365935
0.550477 0.521746 0.364582
0.508411 0.532139 0.352738
0.535359 0.55161 0.365269
0.580357 0.536323 0.356455
0.541656 0.445758 0.366709
0.509019 0.475126 0.370955
0.56243 0.485153 0.392788
0.596844 0.473192 0.376555
0.511209 0.498994 0.38334
0.558908 0.509966 0.377668
0.574614 0.507781 0.38355
0.524212 0.55328 0.395148
0.557364 0.544263 0.389653
0.574916 0.532565 0.37192
0.558524 0.570504 0.377949
0.582254 0.560695 0.377953
0.513624 0.44803 0.41116
0.54838 0.441032 0.400861
0.488873 0.48913 0.422906
0.523403 0.478285 0.415298
0.534332 0.477806 0.412548
0.499658 0.518116 0.431868
0.51493 0.505783 0.422165
0.534994 0.489807 0.415538
0.591159 0.513481 0.426827
0.609973 0.5129 0.422589
0.510878 0.529673 0.413467
0.537649 0.544257 0.408186
0.590118 0.541299 0.415425
0.587663 0.557677 0.427366
0.496887 0.482079 0.435956
0.514653 0.478552 0.435061
0.536231 0.483663 0.434392
0.558078 0.510948 0.453707
0.523315 0.544146 0.435253
0.552821 0.522918 0.445348
0.593788 0.538241 0.438876
