41 0.0291562
0.517009 0.519799 0.34933
0.558079 0.510939 0.346178
0.567885 0.519044 0.348897
0.514003 0.541953 0.365935
0.550477 0.556081 0.364582
0.508411 0.566474 0.352738
0.535359 0.585945 0.365269
0.580357 0.570658 0.356455
0.541656 0.480093 0.366709
0.509019 0.509461 0.370955
0.56243 0.519488 0.392788
0.596844 0.507527 0.376555
0.511209 0.533329 0.38334
0.558908 0.544301 0.377668
0.574614 0.542116 0.38355
0.524212 0.587615 0.395148
0.557364 0.578598 0.389653
0.574916 0.5669 0.37192
0.558524 0.604839 0.377949
0.582254 0.59503 0.377953
0.513624 0.482365 0.41116
0.54838 0.475367 0.400861
0.488873 0.523465 0.422906
0.523403 0.51262 0.415298
0.534332 0.512141 0.412548
0.499658 0.552451 0.431868
0.51493 0.540118 0.422165
0.534994 0.524142 0.415538
0.591159 0.547816 0.426827
0.609973 0.547235 0.422589
0.510878 0.564008 0.413467
0.537649 0.578592 0.408186
0.590118 0.575634 0.415425
0.587663 0.592012 0.427366
0.496887 0.516414 0.435956
0.514653 0.512887 0.435061
0.536231 0.517998 0.434392
0.558078 0.545283 0.453707
0.523315 0.578481 0.435253
0.552821 0.557253 0.445348
0.593788 0.572576 0.438876
