41 0.0291562
0.517009 0.426604 0.34933
0.558079 0.417744 0.346178
0.567885 0.425849 0.348897
0.514003 0.448758 0.365935
0.550477 0.462886 0.364582
0.508411 0.473279 0.352738
0.535359 0.49275 0.365269
0.580357 0.477463 0.356455
0.541656 0.386898 0.366709
0.509019 0.416266 0.370955
0.56243 0.426293 0.392788
0.596844 0.414332 0.376555
0.511209 0.440134 0.38334
0.558908 0.451106 0.377668
0.574614 0.448921 0.38355
0.524212 0.49442 0.395148
0.557364 0.485403 0.389653
0.574916 0.473705 0.37192
0.558524 0.511644 0.377949
0.582254 0.501835 0.377953
0.513624 0.38917 0.41116
0.54838 0.382172 0.400861
0.488873 0.43027 0.422906
0.523403 0.419425 0.415298
0.534332 0.418946 0.412548
0.499658 0.459256 0.431868
0.51493 0.446923 0.422165
0.534994 0.430947 0.415538
0.591159 0.454621 0.426827
0.609973 0.45404 0.422589
0.510878 0.470813 0.413467
0.537649 0.485397 0.408186
0.590118 0.482439 0.415425
0.587663 0.498817 0.427366
0.496887 0.423219 0.435956
0.514653 0.419692 0.435061
0.536231 0.424803 0.434392
0.558078 0.452088 0.453707
0.523315 0.485286 0.435253
0.552821 0.464058 0.445348
0.593788 0.479381 0.438876
