41 0.0291562
0.517009 0.440338 0.34933
0.558079 0.431478 0.346178
0.567885 0.439583 0.348897
0.514003 0.462492 0.365935
0.550477 0.47662 0.364582
0.508411 0.487013 0.352738
0.535359 0.506484 0.365269
0.580357 0.491197 0.356455
0.541656 0.400632 0.366709
0.509019 0.43 0.370955
0.56243 0.440027 0.392788
0.596844 0.428066 0.376555
0.511209 0.453868 0.38334
0.558908 0.46484 0.377668
0.574614 0.462655 0.38355
0.524212 0.508154 0.395148
0.557364 0.499137 0.389653
0.574916 0.487439 0.37192
0.558524 0.525378 0.377949
0.582254 0.515569 0.377953
0.513624 0.402904 0.41116
0.54838 0.395906 0.400861
0.488873 0.444004 0.422906
0.523403 0.433159 0.415298
0.534332 0.43268 0.412548
0.499658 0.47299 0.431868
0.51493 0.460657 0.422165
0.534994 0.444681 0.415538
0.591159 0.468355 0.426827
0.609973 0.467774 0.422589
0.510878 0.484547 0.413467
0.537649 0.499131 0.408186
0.590118 0.496173 0.415425
0.587663 0.512551 0.427366
0.496887 0.436953 0.435956
0.514653 0.433426 0.435061
0.536231 0.438537 0.434392
0.558078 0.465822 0.453707
0.523315 0.49902 0.435253
0.552821 0.477792 0.445348
0.593788 0.493115 0.438876
