41 0.0291562
0.517009 0.526666 0.34933
0.558079 0.517806 0.346178
0.567885 0.525911 0.348897
0.514003 0.54882 0.365935
0.550477 0.562948 0.364582
0.508411 0.573341 0.352738
0.535359 0.592812 0.365269
0.580357 0.577525 0.356455
0.541656 0.48696 0.366709
0.509019 0.516328 0.370955
0.56243 0.526355 0.392788
0.596844 0.514394 0.376555
0.511209 0.540196 0.38334
0.558908 0.551168 0.377668
0.574614 0.548983 0.38355
0.524212 0.594482 0.395148
0.557364 0.585465 0.389653
0.574916 0.573767 0.37192
0.558524 0.611706 0.377949
0.582254 0.601897 0.377953
0.513624 0.489232 0.41116
0.54838 0.482234 0.400861
0.488873 0.530332 0.422906
0.523403 0.519487 0.415298
0.534332 0.519008 0.412548
0.499658 0.559318 0.431868
0.51493 0.546985 0.422165
0.534994 0.531009 0.415538
0.591159 0.554683 0.426827
0.609973 0.554102 0.422589
0.510878 0.570875 0.413467
0.537649 0.585459 0.408186
0.590118 0.582501 0.415425
0.587663 0.598879 0.427366
0.496887 0.523281 0.435956
0.514653 0.519754 0.435061
0.536231 0.524865 0.434392
0.558078 0.55215 0.453707
0.523315 0.585348 0.435253
0.552821 0.56412 0.445348
0.593788 0.579443 0.438876
