41 0.0291562
0.502216 0.342344 0.330046
0.565693 0.339508 0.322055
0.578454 0.342302 0.331479
0.505962 0.356265 0.360231
0.55124 0.368851 0.359702
0.505132 0.374069 0.349366
0.534679 0.392795 0.363359
0.583378 0.377948 0.353505
0.538345 0.331539 0.342131
0.475659 0.338789 0.358613
0.573835 0.345032 0.399063
0.622047 0.336276 0.371816
0.498205 0.352251 0.379525
0.562155 0.360619 0.375265
0.58163 0.357952 0.383722
0.522387 0.394979 0.39513
0.558437 0.38731 0.389452
0.578443 0.376041 0.369964
0.558869 0.410362 0.37739
0.584049 0.400382 0.377341
0.48643 0.329725 0.417692
0.565295 0.329125 0.416847
0.47184 0.342964 0.427742
0.518927 0.342512 0.423275
0.535328 0.342222 0.421525
0.495114 0.362526 0.436175
0.510708 0.356266 0.427484
0.536172 0.347571 0.423383
0.598596 0.353945 0.435969
0.617988 0.352462 0.427595
0.507229 0.374704 0.41479
0.537138 0.387445 0.409295
0.592649 0.381512 0.416374
0.588775 0.396629 0.428394
0.483366 0.338201 0.451351
0.509517 0.338244 0.454679
0.540516 0.339509 0.453325
0.56338 0.353477 0.464166
0.522272 0.385336 0.438291
0.554576 0.364905 0.451194
0.595603 0.37693 0.440966
