41 0.0291562
0.517009 0.464863 0.34933
0.558079 0.456003 0.346178
0.567885 0.464108 0.348897
0.514003 0.487017 0.365935
0.550477 0.501145 0.364582
0.508411 0.511538 0.352738
0.535359 0.531009 0.365269
0.580357 0.515722 0.356455
0.541656 0.425157 0.366709
0.509019 0.454525 0.370955
0.56243 0.464552 0.392788
0.596844 0.452591 0.376555
0.511209 0.478393 0.38334
0.558908 0.489365 0.377668
0.574614 0.48718 0.38355
0.524212 0.532679 0.395148
0.557364 0.523662 0.389653
0.574916 0.511964 0.37192
0.558524 0.549903 0.377949
0.582254 0.540094 0.377953
0.513624 0.427429 0.41116
0.54838 0.420431 0.400861
0.488873 0.468529 0.422906
0.523403 0.457684 0.415298
0.534332 0.457205 0.412548
0.499658 0.497515 0.431868
0.51493 0.485182 0.422165
0.534994 0.469206 0.415538
0.591159 0.49288 0.426827
0.609973 0.492299 0.422589
0.510878 0.509072 0.413467
0.537649 0.523656 0.408186
0.590118 0.520698 0.415425
0.587663 0.537076 0.427366
0.496887 0.461478 0.435956
0.514653 0.457951 0.435061
0.536231 0.463062 0.434392
0.558078 0.490347 0.453707
0.523315 0.523545 0.435253
0.552821 0.502317 0.445348
0.593788 0.51764 0.438876
