41 0.0291562
0.517009 0.396193 0.34933
0.558079 0.387333 0.346178
0.567885 0.395438 0.348897
0.514003 0.418347 0.365935
0.550477 0.432475 0.364582
0.508411 0.442868 0.352738
0.535359 0.462339 0.365269
0.580357 0.447053 0.356455
0.541656 0.356487 0.366709
0.509019 0.385855 0.370955
0.56243 0.395882 0.392788
0.596844 0.383921 0.376555
0.511209 0.409723 0.38334
0.558908 0.420695 0.377668
0.574614 0.41851 0.38355
0.524212 0.464009 0.395148
0.557364 0.454992 0.389653
0.574916 0.443294 0.37192
0.558524 0.481233 0.377949
0.582254 0.471424 0.377953
0.513624 0.358759 0.41116
0.54838 0.351761 0.400861
0.488873 0.399859 0.422906
0.523403 0.389014 0.415298
0.534332 0.388535 0.412548
0.499658 0.428845 0.431868
0.51493 0.416512 0.422165
0.534994 0.400536 0.415538
0.591159 0.42421 0.426827
0.609973 0.423629 0.422589
0.510878 0.440402 0.413467
0.537649 0.454986 0.408186
0.590118 0.452028 0.415425
0.587663 0.468406 0.427366
0.496887 0.392808 0.435956
0.514653 0.389281 0.435061
0.536231 0.394392 0.434392
0.558078 0.421677 0.453707
0.523315 0.454875 0.435253
0.552821 0.433647 0.445348
0.593788 0.44897 0.438876
