41 0.0291562
0.517009 0.523723 0.34933
0.558079 0.514863 0.346178
0.567885 0.522968 0.348897
0.514003 0.545877 0.365935
0.550477 0.560005 0.364582
0.508411 0.570398 0.352738
0.535359 0.589869 0.365269
0.580357 0.574582 0.356455
0.541656 0.484017 0.366709
0.509019 0.513385 0.370955
0.56243 0.523412 0.392788
0.596844 0.511451 0.376555
0.511209 0.537253 0.38334
0.558908 0.548225 0.377668
0.574614 0.54604 0.38355
0.524212 0.591539 0.395148
0.557364 0.582522 0.389653
0.574916 0.570824 0.37192
0.558524 0.608763 0.377949
0.582254 0.598954 0.377953
0.513624 0.486289 0.41116
0.54838 0.479291 0.400861
0.488873 0.527389 0.422906
0.523403 0.516544 0.415298
0.534332 0.516065 0.412548
0.499658 0.556375 0.431868
0.51493 0.544042 0.422165
0.534994 0.528066 0.415538
0.591159 0.55174 0.426827
0.609973 0.551159 0.422589
0.510878 0.567932 0.413467
0.537649 0.582516 0.408186
0.590118 0.579558 0.415425
0.587663 0.595936 0.427366
0.496887 0.520338 0.435956
0.514653 0.516811 0.435061
0.536231 0.521922 0.434392
0.558078 0.549207 0.453707
0.523315 0.582405 0.435253
0.552821 0.561177 0.445348
0.593788 0.5765 0.438876
