41 0.0291562
0.517009 0.411889 0.34933
0.558079 0.403029 0.346178
0.567885 0.411134 0.348897
0.514003 0.434043 0.365935
0.550477 0.448171 0.364582
0.508411 0.458564 0.352738
0.535359 0.478035 0.365269
0.580357 0.462748 0.356455
0.541656 0.372183 0.366709
0.509019 0.401551 0.370955
0.56243 0.411578 0.392788
0.596844 0.399617 0.376555
0.511209 0.425419 0.38334
0.558908 0.436391 0.377668
0.574614 0.434206 0.38355
0.524212 0.479705 0.395148
0.557364 0.470688 0.389653
0.574916 0.45899 0.37192
0.558524 0.496929 0.377949
0.582254 0.48712 0.377953
0.513624 0.374455 0.41116
0.54838 0.367457 0.400861
0.488873 0.415555 0.422906
0.523403 0.40471 0.415298
0.534332 0.404231 0.412548
0.499658 0.444541 0.431868
0.51493 0.432208 0.422165
0.534994 0.416232 0.415538
0.591159 0.439906 0.426827
0.609973 0.439325 0.422589
0.510878 0.456098 0.413467
0.537649 0.470682 0.408186
0.590118 0.467724 0.415425
0.587663 0.484102 0.427366
0.496887 0.408504 0.435956
0.514653 0.404977 0.435061
0.536231 0.410088 0.434392
0.558078 0.437373 0.453707
0.523315 0.470571 0.435253
0.552821 0.449343 0.445348
0.593788 0.464666 0.438876
