41 0.0291562
0.508996 0.349909 0.340165
0.563143 0.344931 0.334919
0.573759 0.348994 0.341088
0.510833 0.368649 0.363508
0.55086 0.382538 0.362625
0.507275 0.390474 0.351559
0.535126 0.409979 0.364631
0.581366 0.394399 0.355494
0.539906 0.333539 0.35186
0.490229 0.344788 0.363943
0.569066 0.352391 0.396426
0.607907 0.340999 0.374071
0.505396 0.362177 0.381481
0.560499 0.372526 0.376662
0.577667 0.36966 0.383668
0.523572 0.411864 0.395132
0.557792 0.403334 0.389624
0.576222 0.391473 0.371194
0.558662 0.428367 0.377766
0.582805 0.418464 0.377778
0.497385 0.333062 0.415533
0.559683 0.331747 0.410819
0.481395 0.35184 0.42521
0.52138 0.348959 0.419612
0.535371 0.348535 0.417618
0.49811 0.377482 0.433479
0.513273 0.36811 0.424509
0.536005 0.355933 0.419575
0.593106 0.370651 0.429126
0.611791 0.369974 0.423608
0.509552 0.389408 0.414015
0.537517 0.403349 0.408596
0.590881 0.398963 0.415798
0.587953 0.415119 0.427633
0.491004 0.346477 0.443233
0.512325 0.345426 0.444312
0.538657 0.347787 0.443308
0.559583 0.36861 0.456504
0.523014 0.402364 0.436266
0.553265 0.381126 0.447002
0.594215 0.395501 0.439397
