41 0.0291562
0.516756 0.379276 0.349096
0.55853 0.370986 0.345501
0.568231 0.378787 0.348635
0.513871 0.401559 0.365814
0.550499 0.415761 0.364477
0.508371 0.425994 0.352688
0.53535 0.445479 0.36524
0.580399 0.430159 0.356421
0.541104 0.344698 0.36497
0.507162 0.369057 0.370424
0.56294 0.379655 0.39287
0.59748 0.366952 0.376423
0.51096 0.393031 0.383214
0.559035 0.404079 0.377609
0.574827 0.401763 0.383544
0.524188 0.44716 0.395148
0.557389 0.438166 0.389656
0.574983 0.426438 0.371889
0.558531 0.464349 0.377942
0.582276 0.45453 0.377947
0.511448 0.346317 0.411135
0.550418 0.341721 0.401758
0.488599 0.383054 0.422963
0.523177 0.373199 0.415555
0.534306 0.372728 0.41287
0.499585 0.412017 0.431944
0.514826 0.39989 0.422295
0.535014 0.384343 0.41574
0.591222 0.407284 0.426865
0.610013 0.406709 0.4226
0.510819 0.423614 0.413491
0.53765 0.438156 0.408208
0.590143 0.435128 0.415435
0.587673 0.451502 0.427374
0.496558 0.376048 0.43646
0.514427 0.372807 0.435806
0.536285 0.377887 0.434962
0.558109 0.404776 0.453791
0.523305 0.438006 0.435295
0.552835 0.416778 0.445408
0.5938 0.432061 0.438888
