41 0.0291562
0.494339 0.337708 0.316233
0.568318 0.336546 0.305754
0.584749 0.33818 0.319081
0.499605 0.34801 0.355726
0.551751 0.358101 0.354895
0.500901 0.360383 0.344906
0.533871 0.377857 0.360959
0.587228 0.363812 0.349427
0.53689 0.330117 0.330311
0.458381 0.335377 0.351955
0.578631 0.34048 0.399907
0.639131 0.334102 0.367681
0.488504 0.345834 0.377271
0.564183 0.352261 0.372748
0.587193 0.350161 0.382482
0.520053 0.380395 0.395041
0.559296 0.374005 0.388947
0.582148 0.363147 0.367615
0.55936 0.393422 0.376493
0.586945 0.384112 0.376225
0.47443 0.341114 0.41957
0.5685 0.354842 0.421359
0.458202 0.337395 0.430964
0.515105 0.338231 0.427372
0.534031 0.338136 0.425549
0.489944 0.351726 0.440437
0.506718 0.348086 0.431357
0.535136 0.342097 0.427594
0.606648 0.343959 0.444252
0.629689 0.342873 0.433401
0.503151 0.362718 0.415952
0.536291 0.374423 0.410348
0.59654 0.367105 0.417673
0.590637 0.38017 0.429766
0.47253 0.333352 0.462351
0.505238 0.33393 0.468513
0.540748 0.334702 0.46666
0.567055 0.343816 0.477728
0.520813 0.370858 0.44184
0.555816 0.353519 0.459124
0.599748 0.36135 0.445855
