41 0.0291562
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.475082 0.334263 0.338077
0.553619 0.339262 0.333714
-1.#IND -1.#IND -1.#IND
0.528967 0.346292 0.347944
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.398933 0.368116 0.330078
0.594847 0.33188 0.399708
0.697327 0.36891 0.351819
0.451628 0.334539 0.370368
0.57137 0.336547 0.362265
0.610184 0.336462 0.374234
0.508387 0.348375 0.39467
0.562577 0.346014 0.386985
0.600396 0.340821 0.354831
0.562049 0.354326 0.370812
0.602603 0.350205 0.368453
0.435012 0.33043 0.42356
0.575618 0.337661 0.433046
0.405223 0.364081 0.442632
0.500793 0.329156 0.44005
0.528452 0.329748 0.438513
0.466576 0.334059 0.459163
0.490227 0.333348 0.445367
0.530449 0.331827 0.441759
0.639789 0.32959 0.478066
0.680741 0.341679 0.455717
0.48526 0.340959 0.420783
0.531861 0.347638 0.416061
0.615989 0.341136 0.423987
0.603014 0.34621 0.440865
0.4342 0.335648 0.501929
0.488591 0.421214 0.520693
0.538298 0.403042 0.516168
0.580482 0.329091 0.533735
0.513517 0.342554 0.460902
0.558917 0.335699 0.49318
0.621099 0.336883 0.472208
