41 0.0291562
0.517009 0.453091 0.34933
0.558079 0.444231 0.346178
0.567885 0.452336 0.348897
0.514003 0.475245 0.365935
0.550477 0.489373 0.364582
0.508411 0.499766 0.352738
0.535359 0.519237 0.365269
0.580357 0.50395 0.356455
0.541656 0.413385 0.366709
0.509019 0.442753 0.370955
0.56243 0.45278 0.392788
0.596844 0.440819 0.376555
0.511209 0.466621 0.38334
0.558908 0.477593 0.377668
0.574614 0.475408 0.38355
0.524212 0.520907 0.395148
0.557364 0.51189 0.389653
0.574916 0.500192 0.37192
0.558524 0.538131 0.377949
0.582254 0.528322 0.377953
0.513624 0.415657 0.41116
0.54838 0.408659 0.400861
0.488873 0.456757 0.422906
0.523403 0.445912 0.415298
0.534332 0.445433 0.412548
0.499658 0.485743 0.431868
0.51493 0.47341 0.422165
0.534994 0.457434 0.415538
0.591159 0.481108 0.426827
0.609973 0.480527 0.422589
0.510878 0.4973 0.413467
0.537649 0.511884 0.408186
0.590118 0.508926 0.415425
0.587663 0.525304 0.427366
0.496887 0.449706 0.435956
0.514653 0.446179 0.435061
0.536231 0.45129 0.434392
0.558078 0.478575 0.453707
0.523315 0.511773 0.435253
0.552821 0.490545 0.445348
0.593788 0.505868 0.438876
