41 0.0291562
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.5994 0.394836 0.400271
0.714632 0.361998 0.346279
0.439122 -1.#IND 0.36791
-1.#IND -1.#IND -1.#IND
0.617916 0.331866 0.371164
0.504 0.339242 0.394188
0.563619 0.338385 0.386143
-1.#IND -1.#IND -1.#IND
0.563124 0.344327 0.36853
0.608705 0.342047 0.365235
0.421866 0.438874 0.426025
0.578151 0.332078 0.436953
0.389846 0.35404 0.446405
0.495982 0.466135 0.445239
0.526149 0.438955 0.443576
0.457773 0.337782 0.466094
0.484147 0.351808 0.450546
0.528574 0.377569 0.446944
0.649466 0.511489 0.4903
0.697715 0.334495 0.463375
0.478477 0.334435 0.422367
0.530088 0.339884 0.417848
0.623604 0.334398 0.426419
0.608336 0.337852 0.445532
0.42094 0.329158 0.515281
0.483459 0.409679 0.535715
0.538102 0.391369 0.530304
0.583767 0.506935 0.552956
0.510382 0.33536 0.468079
0.560127 0.329829 0.505708
0.629789 0.330177 0.482219
