41 0.0291562
0.517009 0.502141 0.34933
0.558079 0.493281 0.346178
0.567885 0.501386 0.348897
0.514003 0.524295 0.365935
0.550477 0.538423 0.364582
0.508411 0.548816 0.352738
0.535359 0.568287 0.365269
0.580357 0.553 0.356455
0.541656 0.462435 0.366709
0.509019 0.491803 0.370955
0.56243 0.50183 0.392788
0.596844 0.489869 0.376555
0.511209 0.515671 0.38334
0.558908 0.526643 0.377668
0.574614 0.524458 0.38355
0.524212 0.569957 0.395148
0.557364 0.56094 0.389653
0.574916 0.549242 0.37192
0.558524 0.587181 0.377949
0.582254 0.577372 0.377953
0.513624 0.464707 0.41116
0.54838 0.457709 0.400861
0.488873 0.505807 0.422906
0.523403 0.494962 0.415298
0.534332 0.494483 0.412548
0.499658 0.534793 0.431868
0.51493 0.52246 0.422165
0.534994 0.506484 0.415538
0.591159 0.530158 0.426827
0.609973 0.529577 0.422589
0.510878 0.54635 0.413467
0.537649 0.560934 0.408186
0.590118 0.557976 0.415425
0.587663 0.574354 0.427366
0.496887 0.498756 0.435956
0.514653 0.495229 0.435061
0.536231 0.50034 0.434392
0.558078 0.527625 0.453707
0.523315 0.560823 0.435253
0.552821 0.539595 0.445348
0.593788 0.554918 0.438876
