41 0.0291562
0.517009 0.475654 0.34933
0.558079 0.466794 0.346178
0.567885 0.474899 0.348897
0.514003 0.497808 0.365935
0.550477 0.511936 0.364582
0.508411 0.522329 0.352738
0.535359 0.5418 0.365269
0.580357 0.526513 0.356455
0.541656 0.435948 0.366709
0.509019 0.465316 0.370955
0.56243 0.475343 0.392788
0.596844 0.463382 0.376555
0.511209 0.489184 0.38334
0.558908 0.500156 0.377668
0.574614 0.497971 0.38355
0.524212 0.54347 0.395148
0.557364 0.534453 0.389653
0.574916 0.522755 0.37192
0.558524 0.560694 0.377949
0.582254 0.550885 0.377953
0.513624 0.43822 0.41116
0.54838 0.431222 0.400861
0.488873 0.47932 0.422906
0.523403 0.468475 0.415298
0.534332 0.467996 0.412548
0.499658 0.508306 0.431868
0.51493 0.495973 0.422165
0.534994 0.479997 0.415538
0.591159 0.503671 0.426827
0.609973 0.50309 0.422589
0.510878 0.519863 0.413467
0.537649 0.534447 0.408186
0.590118 0.531489 0.415425
0.587663 0.547867 0.427366
0.496887 0.472269 0.435956
0.514653 0.468742 0.435061
0.536231 0.473853 0.434392
0.558078 0.501138 0.453707
0.523315 0.534336 0.435253
0.552821 0.513108 0.445348
0.593788 0.528431 0.438876
