41 0.0291562
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
-1.#IND -1.#IND -1.#IND
0.398645 0.410197 0.430027
0.581211 0.432021 0.44916
0.358788 0.333009 0.454234
0.487246 0.437383 0.462782
0.523137 0.409673 0.459776
0.441605 0.599672 0.480029
0.47295 0.328772 0.460168
0.525863 0.348752 0.458039
0.665863 0.480215 0.510002
0.723816 0.446342 0.478578
0.471568 0.383021 0.424506
-1.#IND -1.#IND -1.#IND
0.636672 0.399584 0.433355
0.618425 0.409187 0.455534
0.400282 0.530495 0.535649
0.473822 0.383608 0.563984
0.537123 0.364983 0.557561
0.587331 0.480321 0.583266
0.504114 0.340248 0.482669
0.562273 0.490657 0.531349
0.64218 0.530473 0.502165
